,sex,race,age,degree,wrkstat,income,happy
1400,Male,White,54,Bachelor,Working fulltime,$4000 to 4999,Pretty happy
1401,Female,Black,24,High school,Working parttime,$25000 or more,Not too happy
1402,Female,White,25,High school,Working fulltime,$25000 or more,Very happy
1403,Female,Black,44,High school,Keeping house,$6000 to 6999,Not too happy
1404,Male,White,25,High school,Working fulltime,$15000 - 19999,Pretty happy
1405,Male,White,24,High school,Working fulltime,$25000 or more,Pretty happy
1406,Female,White,78,High school,Retired,$25000 or more,Not too happy
1407,Female,White,23,High school,Working fulltime,$20000 - 24999,Not too happy
1408,Male,White,38,Lt high school,Working fulltime,$25000 or more,Very happy
1409,Male,White,57,Lt high school,Working fulltime,$25000 or more,Very happy
1410,Female,White,70,High school,Retired,Refused,Not too happy
1411,Male,White,69,High school,Retired,$25000 or more,Very happy
1412,Female,Black,77,Lt high school,Retired,$8000 to 9999,Not too happy
1413,Female,White,85,High school,Retired,$25000 or more,Pretty happy
1414,Male,White,25,High school,Working fulltime,$25000 or more,Pretty happy
1415,Male,White,62,High school,Retired,Refused,Pretty happy
1416,Female,White,84,High school,Retired,Refused,Pretty happy
1417,Female,White,71,Lt high school,Retired,Refused,Not too happy
1418,Female,White,54,Bachelor,Working fulltime,Refused,Pretty happy
1419,Male,White,74,High school,Retired,$25000 or more,Pretty happy
1420,Male,White,37,Graduate,Working fulltime,$25000 or more,Very happy
1421,Male,White,80,High school,Retired,$25000 or more,Pretty happy
1422,Male,White,74,Lt high school,Retired,$20000 - 24999,Pretty happy
1423,Female,White,37,High school,Working fulltime,$25000 or more,Pretty happy
1424,Female,White,33,High school,Working fulltime,$25000 or more,Very happy
1425,Female,White,62,High school,Working fulltime,Refused,Pretty happy
1426,Male,White,74,High school,Retired,$25000 or more,Pretty happy
1427,Female,Other,83,Bachelor,Retired,$25000 or more,Pretty happy
1428,Female,White,40,High school,Working parttime,$1000 to 2999,Pretty happy
1429,Female,White,57,Graduate,Working fulltime,$25000 or more,Pretty happy
1430,Male,White,50,High school,Working fulltime,$25000 or more,Pretty happy
1431,Male,White,31,Junior college,Working fulltime,$25000 or more,Pretty happy
1432,Male,White,36,Graduate,Working fulltime,$25000 or more,Pretty happy
1433,Male,White,83,Lt high school,Working fulltime,$25000 or more,Not too happy
1434,Male,White,58,Lt high school,Working fulltime,$25000 or more,Pretty happy
1435,Male,White,29,High school,Working fulltime,$25000 or more,Pretty happy
1436,Male,White,50,High school,Working fulltime,$25000 or more,Pretty happy
1437,Male,White,64,Bachelor,Retired,$25000 or more,Pretty happy
1438,Male,White,43,Bachelor,Working fulltime,$25000 or more,Very happy
1439,Male,White,54,Graduate,Working fulltime,Refused,Pretty happy
1440,Male,White,72,Graduate,Retired,$25000 or more,Not too happy
1441,Female,White,31,Bachelor,Temp not working,$25000 or more,Very happy
1442,Male,White,30,Bachelor,Working fulltime,$25000 or more,Very happy
1443,Female,White,36,Bachelor,Working fulltime,Refused,Pretty happy
1444,Male,White,72,High school,Retired,$20000 - 24999,Very happy
1445,Female,White,56,High school,Working fulltime,$25000 or more,Pretty happy
1446,Female,White,29,High school,Working parttime,$25000 or more,Pretty happy
1447,Female,White,83,Bachelor,Keeping house,$25000 or more,Pretty happy
1448,Female,White,80,Bachelor,Retired,Don't know,Very happy
1449,Male,White,61,High school,"Unempl, laid off",$10000 - 14999,Not too happy
1450,Male,White,53,Lt high school,Working fulltime,$25000 or more,Pretty happy
1451,Female,White,61,Bachelor,Keeping house,$25000 or more,Pretty happy
1452,Female,White,52,Junior college,Working fulltime,$25000 or more,Pretty happy
1453,Male,Other,37,High school,Working fulltime,$25000 or more,Very happy
1454,Female,White,24,High school,Working fulltime,$25000 or more,Pretty happy
1455,Female,White,50,Bachelor,Keeping house,$25000 or more,Not too happy
1456,Female,White,28,High school,Working fulltime,$25000 or more,Pretty happy
1457,Female,White,30,High school,Other,$20000 - 24999,Pretty happy
1458,Male,White,36,High school,Working fulltime,$25000 or more,Pretty happy
1459,Male,White,24,Bachelor,Working fulltime,$20000 - 24999,Pretty happy
1460,Female,Other,63,High school,Working fulltime,$25000 or more,Very happy
1461,Male,White,22,High school,Working fulltime,$10000 - 14999,Pretty happy
1462,Male,White,20,High school,Working parttime,$5000 to 5999,Pretty happy
1463,Female,White,31,Lt high school,Working fulltime,$10000 - 14999,Not too happy
1464,Female,Black,31,High school,Working fulltime,$20000 - 24999,Pretty happy
1465,Male,White,74,High school,Retired,$25000 or more,Pretty happy
1466,Female,White,83,Lt high school,Retired,$8000 to 9999,Pretty happy
1467,Male,White,61,Junior college,Working fulltime,$25000 or more,Don't know
1468,Male,White,22,High school,Working fulltime,$15000 - 19999,Pretty happy
1469,Female,White,63,High school,Working parttime,$25000 or more,Pretty happy
1470,Male,White,46,High school,Working fulltime,$25000 or more,Pretty happy
1471,Female,White,83,Bachelor,Retired,$25000 or more,Very happy
1472,Female,White,38,Bachelor,Keeping house,Refused,Very happy
1473,Male,White,80,Junior college,Retired,$25000 or more,Pretty happy
1474,Female,White,58,High school,Retired,Refused,Pretty happy
1475,Female,White,52,High school,Working parttime,$20000 - 24999,Pretty happy
1476,Female,White,31,High school,Keeping house,$25000 or more,Very happy
1477,Male,White,34,High school,Working fulltime,$25000 or more,Very happy
1478,Female,White,31,High school,Keeping house,$25000 or more,Pretty happy
1479,Male,White,63,High school,Working fulltime,Refused,Pretty happy
1480,Female,White,57,Bachelor,Working fulltime,$25000 or more,Pretty happy
1481,Male,White,45,High school,Working fulltime,$25000 or more,Pretty happy
1482,Male,White,60,Lt high school,Working fulltime,$25000 or more,Very happy
1483,Female,White,67,High school,Working parttime,$20000 - 24999,Pretty happy
1484,Male,Black,63,High school,Working parttime,$25000 or more,Pretty happy
1485,Male,Other,50,Bachelor,Working fulltime,$25000 or more,Not too happy
1486,Male,Other,29,Lt high school,Working fulltime,$25000 or more,Pretty happy
1487,Female,White,23,High school,Keeping house,Refused,Not too happy
1488,Male,White,59,High school,Working fulltime,$25000 or more,Pretty happy
1489,Female,White,38,Graduate,Working fulltime,$25000 or more,Very happy
1490,Female,White,32,Bachelor,Working fulltime,$25000 or more,Very happy
1491,Male,Other,32,Junior college,Other,$25000 or more,Pretty happy
1492,Male,White,48,High school,Working fulltime,$25000 or more,Not too happy
1493,Female,White,64,High school,Working fulltime,$25000 or more,Pretty happy
1494,Female,White,30,Bachelor,Working fulltime,$25000 or more,Pretty happy
1495,Female,Black,25,High school,Working fulltime,$10000 - 14999,Pretty happy
1496,Female,Black,48,High school,Working fulltime,$20000 - 24999,Not too happy
1497,Female,White,29,Lt high school,Keeping house,$25000 or more,Pretty happy
1498,Male,White,23,Graduate,Working fulltime,Lt $1000,Pretty happy
1499,Male,White,44,High school,Working fulltime,$25000 or more,Very happy
1500,Female,Black,55,Graduate,Working fulltime,$25000 or more,Very happy
1501,Male,White,25,Bachelor,Working fulltime,$25000 or more,Very happy
1502,Male,White,59,Bachelor,Working fulltime,$25000 or more,Pretty happy
1503,Male,Black,60,Bachelor,Working fulltime,$25000 or more,Very happy
1504,Female,White,53,Bachelor,Working parttime,$25000 or more,Pretty happy
1505,Male,White,46,High school,Working fulltime,Refused,Pretty happy
1506,Female,White,86,High school,Retired,Refused,Very happy
1507,Female,Black,29,Lt high school,Working parttime,Don't know,Pretty happy
1508,Female,White,70,High school,Retired,$25000 or more,Pretty happy
1509,Female,White,50,Bachelor,Working fulltime,$25000 or more,Very happy
1510,Female,White,79,Bachelor,Retired,$25000 or more,Very happy
1511,Male,White,29,Bachelor,Working fulltime,Don't know,Pretty happy
1512,Female,White,50,High school,Working fulltime,Don't know,Pretty happy
1513,Male,White,61,Bachelor,Retired,$15000 - 19999,Not too happy
1514,Female,White,23,High school,School,$25000 or more,Not too happy
1515,Female,White,21,High school,Working parttime,$25000 or more,Very happy
1516,Female,White,29,Junior college,School,$25000 or more,Very happy
1517,Female,White,80,High school,Retired,$10000 - 14999,Pretty happy
1518,Female,White,25,High school,Working fulltime,$25000 or more,Pretty happy
1519,Female,White,71,Lt high school,Keeping house,$15000 - 19999,Not too happy
1520,Female,White,68,High school,Retired,$25000 or more,Very happy
1521,Male,White,55,High school,Other,$20000 - 24999,Not too happy
1522,Male,White,47,Bachelor,Working fulltime,$25000 or more,Pretty happy
1523,Male,White,64,Junior college,Retired,$25000 or more,Pretty happy
1524,Female,White,73,Lt high school,Retired,$10000 - 14999,Not too happy
1525,Female,White,80,High school,Retired,$10000 - 14999,Pretty happy
1526,Female,White,57,Junior college,"Unempl, laid off",$8000 to 9999,Not too happy
1527,Female,White,55,Bachelor,Other,$10000 - 14999,Not too happy
1528,Female,White,86,High school,Retired,$20000 - 24999,Pretty happy
1529,Male,White,47,Graduate,Working fulltime,$25000 or more,Very happy
1530,Male,White,52,Graduate,Working fulltime,Refused,Pretty happy
1531,Female,White,61,Junior college,Retired,$10000 - 14999,Pretty happy
1532,Male,White,34,Bachelor,Working fulltime,$25000 or more,Pretty happy
1533,Male,White,65,Junior college,Retired,Refused,Pretty happy
1534,Female,White,69,High school,Temp not working,$25000 or more,Pretty happy
1535,Male,White,53,Graduate,Working fulltime,$25000 or more,Pretty happy
1536,Female,White,64,Graduate,Working fulltime,$25000 or more,Not too happy
1537,Male,White,68,Bachelor,Working fulltime,Refused,Pretty happy
1538,Female,White,66,Junior college,Retired,$20000 - 24999,Pretty happy
1539,Male,Black,43,High school,"Unempl, laid off",$15000 - 19999,Not too happy
1540,Female,White,21,High school,Working fulltime,$25000 or more,Not too happy
1541,Female,White,60,High school,Working parttime,$25000 or more,Very happy
1542,Female,White,46,High school,Keeping house,$10000 - 14999,Pretty happy
1543,Male,White,23,Junior college,School,Lt $1000,Pretty happy
1544,Male,White,33,Lt high school,Working parttime,$20000 - 24999,Not too happy
1545,Male,White,66,Graduate,Retired,$25000 or more,Very happy
1546,Female,Other,43,Lt high school,Working parttime,$10000 - 14999,Pretty happy
1547,Female,Other,40,High school,Working parttime,Lt $1000,Not too happy
1548,Female,White,59,Bachelor,Working fulltime,$25000 or more,Very happy
1549,Male,White,66,High school,Retired,$10000 - 14999,Not too happy
1550,Female,Other,42,Graduate,Keeping house,$10000 - 14999,Pretty happy
1551,Male,White,54,Bachelor,Working fulltime,$25000 or more,Pretty happy
1552,Male,White,24,High school,Working fulltime,$10000 - 14999,Pretty happy
1553,Female,White,36,Junior college,Working fulltime,$3000 to 3999,Not too happy
1554,Male,White,52,High school,Working fulltime,$25000 or more,Pretty happy
1555,Male,White,26,High school,Working fulltime,$25000 or more,Pretty happy
1556,Female,White,64,High school,Working parttime,$15000 - 19999,Not too happy
1557,Male,White,77,High school,Retired,$25000 or more,Pretty happy
1558,Female,White,63,No answer,Working fulltime,Refused,No answer
1559,Male,White,58,Bachelor,Working fulltime,$25000 or more,Pretty happy
1560,Female,White,76,Bachelor,Retired,Refused,Pretty happy
1561,Male,White,68,Bachelor,Working parttime,$20000 - 24999,Not too happy
1562,Female,White,89 or older,High school,Retired,$15000 - 19999,Pretty happy
1563,Female,White,20,High school,Temp not working,$25000 or more,Pretty happy
1564,Female,White,63,High school,Working fulltime,$25000 or more,Pretty happy
1565,Female,White,57,Junior college,Keeping house,$10000 - 14999,Pretty happy
1566,Female,White,66,High school,Other,$10000 - 14999,Pretty happy
1567,Female,White,63,Graduate,Working fulltime,$25000 or more,Pretty happy
1568,Male,White,75,Graduate,Retired,$25000 or more,Very happy
1569,Female,White,66,Graduate,Working parttime,$25000 or more,Pretty happy
1570,Male,White,53,Bachelor,Working fulltime,$25000 or more,Pretty happy
1571,Female,White,49,Graduate,Working fulltime,$25000 or more,Pretty happy
1572,Male,White,57,Graduate,Working fulltime,$25000 or more,Very happy
1573,Female,White,41,High school,Working fulltime,$25000 or more,Very happy
1574,Female,White,42,Graduate,Working fulltime,$25000 or more,Pretty happy
1575,Male,White,38,Bachelor,Temp not working,$25000 or more,Pretty happy
1576,Male,White,34,High school,Other,Refused,Pretty happy
1577,Male,White,72,Lt high school,Retired,Lt $1000,Not too happy
1578,Female,Black,39,High school,"Unempl, laid off",$5000 to 5999,Not too happy
1579,Female,White,38,Lt high school,"Unempl, laid off",$25000 or more,Pretty happy
1580,Male,White,55,High school,Working fulltime,$25000 or more,Pretty happy
1581,Male,White,85,Graduate,Retired,$25000 or more,Pretty happy
1582,Male,White,32,High school,Working fulltime,$25000 or more,Pretty happy
1583,Female,Black,42,Bachelor,Keeping house,$10000 - 14999,Pretty happy
1584,Male,White,35,High school,Working fulltime,$25000 or more,Pretty happy
1585,Female,Other,33,Lt high school,Other,Don't know,Not too happy
1586,Female,Black,32,High school,Working fulltime,$25000 or more,Not too happy
1587,Female,White,67,Graduate,Working parttime,$25000 or more,Pretty happy
1588,Male,White,28,High school,Working fulltime,$25000 or more,Pretty happy
1589,Female,White,59,Junior college,Working fulltime,$25000 or more,Very happy
1590,Male,White,57,High school,Retired,$25000 or more,Pretty happy
1591,Male,White,51,High school,Retired,$25000 or more,Pretty happy
1592,Female,White,66,High school,Retired,$25000 or more,Very happy
1593,Male,White,35,High school,Working fulltime,$25000 or more,Pretty happy
1594,Female,White,28,Bachelor,Working fulltime,$25000 or more,Pretty happy
1595,Female,White,52,Graduate,Working fulltime,$25000 or more,Pretty happy
1596,Male,White,89 or older,High school,Retired,$25000 or more,Not too happy
1597,Female,White,69,High school,Retired,$25000 or more,Pretty happy
1598,Male,White,55,High school,Working fulltime,$25000 or more,Pretty happy
1599,Male,White,48,High school,Working fulltime,$25000 or more,Very happy
1600,Female,White,67,High school,Retired,Refused,Very happy
1601,Female,White,36,High school,Working fulltime,$25000 or more,Pretty happy
1602,Female,White,66,High school,Working fulltime,$25000 or more,Very happy
1603,Female,White,31,High school,Keeping house,$25000 or more,Pretty happy
1604,Female,Black,57,High school,Working parttime,Don't know,Pretty happy
1605,Female,White,48,High school,Other,$8000 to 9999,Not too happy
1606,Female,Black,35,High school,Working fulltime,$10000 - 14999,Pretty happy
1607,Female,Other,59,High school,"Unempl, laid off",$10000 - 14999,Not too happy
1608,Male,White,59,Lt high school,Retired,$7000 to 7999,Not too happy
1609,Female,Other,35,High school,Keeping house,$25000 or more,Very happy
1610,Female,White,52,High school,Working fulltime,Refused,Pretty happy
1611,Male,White,37,High school,Working fulltime,$25000 or more,Pretty happy
1612,Male,White,35,High school,Working fulltime,Refused,Very happy
1613,Male,White,61,High school,Working fulltime,$25000 or more,Pretty happy
1614,Female,White,67,High school,Working parttime,$25000 or more,Pretty happy
1615,Female,White,80,High school,Retired,$25000 or more,Pretty happy
1616,Male,White,30,High school,Working fulltime,$25000 or more,Pretty happy
1617,Female,Black,56,Graduate,Working fulltime,$25000 or more,Very happy
1618,Male,Black,20,High school,Temp not working,$25000 or more,Pretty happy
1619,Female,White,53,Bachelor,Working parttime,$25000 or more,Pretty happy
1620,Female,White,31,Graduate,Working fulltime,Refused,Pretty happy
1621,Female,White,51,High school,Working fulltime,$25000 or more,Very happy
1622,Female,White,29,High school,Keeping house,$25000 or more,Very happy
1623,Male,White,80,High school,Retired,$25000 or more,Very happy
1624,Female,White,67,Bachelor,Working parttime,$15000 - 19999,Pretty happy
1625,Female,White,61,Bachelor,Retired,$25000 or more,Very happy
1626,Female,White,58,High school,Keeping house,$25000 or more,Very happy
1627,Female,White,19,High school,Working parttime,Don't know,Very happy
1628,Female,White,19,Lt high school,School,Refused,Pretty happy
1629,Male,Black,25,High school,Working fulltime,$25000 or more,Pretty happy
1630,Female,White,34,High school,Keeping house,$20000 - 24999,Pretty happy
1631,Female,Black,37,High school,Working fulltime,$25000 or more,Not too happy
1632,Male,White,78,High school,Retired,$25000 or more,Pretty happy
1633,Male,White,62,High school,Retired,$25000 or more,Pretty happy
1634,Female,White,30,Junior college,Working fulltime,$25000 or more,Pretty happy
1635,Female,White,65,Lt high school,Other,Don't know,Pretty happy
1636,Female,White,45,Graduate,Working fulltime,$25000 or more,Pretty happy
1637,Male,White,65,High school,Retired,$25000 or more,Very happy
1638,Female,White,68,Lt high school,Retired,$10000 - 14999,Pretty happy
1639,Male,White,37,High school,Working fulltime,$25000 or more,Pretty happy
1640,Male,White,63,Lt high school,Other,$25000 or more,Pretty happy
1641,Male,White,59,Lt high school,Working fulltime,$25000 or more,Very happy
1642,Male,White,80,Bachelor,Retired,$25000 or more,Very happy
1643,Female,White,29,Junior college,Working fulltime,$25000 or more,Very happy
1644,Female,White,57,High school,Working parttime,$25000 or more,Pretty happy
1645,Female,White,73,Graduate,Retired,$25000 or more,Pretty happy
1646,Male,White,75,High school,Retired,$25000 or more,Very happy
1647,Male,White,74,High school,Retired,$25000 or more,Not too happy
1648,Female,White,86,High school,Retired,$25000 or more,Pretty happy
1649,Female,White,81,High school,Retired,$25000 or more,Pretty happy
1650,Female,White,69,Lt high school,Working parttime,$25000 or more,Very happy
1651,Female,White,59,High school,Keeping house,$15000 - 19999,Not too happy
1652,Male,White,59,High school,Retired,Refused,Pretty happy
1653,Male,White,68,High school,Working parttime,$25000 or more,Pretty happy
1654,Female,White,28,Bachelor,Working fulltime,$25000 or more,Very happy
1655,Male,White,62,High school,Retired,$15000 - 19999,Not too happy
1656,Female,White,30,High school,Working fulltime,$20000 - 24999,Very happy
1657,Female,White,30,Junior college,Working fulltime,$20000 - 24999,Not too happy
1658,Male,Black,52,High school,Other,$25000 or more,Not too happy
1659,Female,White,50,Graduate,Keeping house,$25000 or more,Pretty happy
1660,Male,White,62,High school,Other,$25000 or more,Pretty happy
1661,Female,Other,46,Bachelor,Working parttime,$25000 or more,Pretty happy
1662,Female,White,43,High school,Working fulltime,$25000 or more,Pretty happy
1663,Male,White,27,Bachelor,Working fulltime,$25000 or more,Very happy
1664,Male,White,36,Bachelor,Working fulltime,$25000 or more,Pretty happy
1665,Male,White,26,High school,Working fulltime,$5000 to 5999,Very happy
1666,Female,Other,50,Graduate,Keeping house,$25000 or more,Pretty happy
1667,Male,Black,23,High school,School,$25000 or more,Not too happy
1668,Male,White,27,Bachelor,Working fulltime,$20000 - 24999,Very happy
1669,Female,Other,21,High school,Working parttime,$10000 - 14999,Pretty happy
1670,Female,White,23,Bachelor,Working fulltime,$10000 - 14999,Not too happy
1671,Female,White,67,Graduate,Working parttime,$25000 or more,Pretty happy
1672,Female,White,36,Bachelor,Keeping house,Refused,Not too happy
1673,Male,White,28,Junior college,School,Lt $1000,Pretty happy
1674,Female,White,39,High school,Working fulltime,$25000 or more,Pretty happy
1675,Female,Other,47,Bachelor,Working fulltime,$25000 or more,Not too happy
1676,Female,White,30,Lt high school,Working fulltime,$25000 or more,Pretty happy
1677,Male,White,52,Graduate,Working fulltime,$25000 or more,Pretty happy
1678,Female,White,60,Lt high school,Working fulltime,Don't know,Very happy
1679,Male,White,66,Graduate,Retired,$25000 or more,Pretty happy
1680,Male,White,60,Lt high school,Working parttime,$25000 or more,Very happy
1681,Female,White,31,Junior college,Working parttime,$15000 - 19999,Not too happy
1682,Female,White,68,Bachelor,Retired,$25000 or more,Very happy
1683,Male,White,66,Lt high school,Retired,Refused,Very happy
1684,Male,White,38,Bachelor,Working fulltime,$25000 or more,Pretty happy
1685,Male,White,81,High school,Working parttime,$20000 - 24999,Very happy
1686,Female,White,56,High school,Working fulltime,$25000 or more,Pretty happy
1687,Male,White,42,High school,Working fulltime,$25000 or more,Pretty happy
1688,Female,White,73,High school,Retired,$25000 or more,Pretty happy
1689,Female,Black,24,High school,Working parttime,$20000 - 24999,Not too happy
1690,Female,White,26,High school,Working fulltime,$25000 or more,Pretty happy
1691,Female,Black,50,Bachelor,Working fulltime,$25000 or more,Pretty happy
1692,Female,Black,19,Junior college,School,$10000 - 14999,Pretty happy
1693,Female,White,31,High school,Keeping house,Don't know,Pretty happy
1694,Female,White,74,Lt high school,Retired,Don't know,Pretty happy
1695,Female,Black,60,High school,Working fulltime,$25000 or more,Pretty happy
1696,Female,White,84,High school,Retired,$1000 to 2999,Pretty happy
1697,Female,White,33,High school,Keeping house,$20000 - 24999,Pretty happy
1698,Female,Black,40,Lt high school,Working fulltime,$25000 or more,Pretty happy
1699,Female,Black,59,Bachelor,Working fulltime,$25000 or more,Very happy
1700,Male,White,19,Lt high school,School,Don't know,Very happy
1701,Male,Black,61,High school,Retired,Refused,Very happy
1702,Female,White,48,Lt high school,Working fulltime,$25000 or more,Pretty happy
1703,Female,Black,54,High school,"Unempl, laid off",$25000 or more,Pretty happy
1704,Female,Black,41,Graduate,Keeping house,$25000 or more,Pretty happy
1705,Male,White,34,Bachelor,Working fulltime,$25000 or more,Pretty happy
1706,Female,White,19,High school,School,$4000 to 4999,Pretty happy
1707,Male,White,51,Lt high school,Other,Don't know,Not too happy
1708,Female,White,32,Junior college,"Unempl, laid off",$25000 or more,Pretty happy
1709,Male,White,64,Junior college,Working fulltime,$25000 or more,Very happy
1710,Male,Black,41,High school,Temp not working,$25000 or more,Very happy
1711,Female,White,80,High school,Retired,$20000 - 24999,Not too happy
1712,Female,Black,36,High school,"Unempl, laid off",Refused,Pretty happy
1713,Male,Black,28,High school,Working fulltime,$25000 or more,Very happy
1714,Female,White,41,Bachelor,Working fulltime,$15000 - 19999,Very happy
1715,Male,Black,46,High school,Working fulltime,Don't know,Pretty happy
1716,Female,Black,45,Bachelor,Temp not working,$25000 or more,Pretty happy
1717,Female,Black,35,High school,Working fulltime,$25000 or more,Pretty happy
1718,Female,Black,51,High school,"Unempl, laid off",$20000 - 24999,Not too happy
1719,Male,White,76,Lt high school,Retired,$10000 - 14999,Pretty happy
1720,Female,Black,26,High school,Working fulltime,$10000 - 14999,Not too happy
1721,Female,Black,31,High school,Keeping house,$1000 to 2999,Not too happy
1722,Male,Black,62,High school,Working fulltime,$25000 or more,Pretty happy
1723,Male,Black,19,High school,School,$3000 to 3999,Not too happy
1724,Female,Black,18,High school,Working parttime,$25000 or more,Pretty happy
1725,Female,Black,55,Junior college,Working fulltime,$25000 or more,Pretty happy
1726,Female,Black,52,High school,Retired,$10000 - 14999,Pretty happy
1727,Male,Black,59,High school,Retired,$25000 or more,Very happy
1728,Female,Black,67,Bachelor,Retired,Refused,Pretty happy
1729,Female,Black,31,Junior college,Working fulltime,$15000 - 19999,Very happy
1730,Male,Black,58,High school,Retired,$20000 - 24999,Very happy
1731,Male,White,58,High school,Working parttime,$5000 to 5999,Not too happy
1732,Female,Black,83,Lt high school,Retired,Don't know,Very happy
1733,Female,Black,76,Junior college,Retired,$25000 or more,Pretty happy
1734,Female,White,27,High school,Working fulltime,Don't know,Not too happy
1735,Male,White,72,Lt high school,Retired,$25000 or more,Pretty happy
1736,Female,White,58,High school,Working fulltime,$25000 or more,Pretty happy
1737,Male,White,19,High school,Working fulltime,Don't know,Pretty happy
1738,Female,White,69,Graduate,Retired,$25000 or more,Very happy
1739,Female,White,52,Bachelor,Working fulltime,$25000 or more,Very happy
1740,Female,White,65,High school,Retired,$25000 or more,Pretty happy
1741,Male,White,63,High school,Retired,$25000 or more,Pretty happy
1742,Male,Black,49,High school,Temp not working,$20000 - 24999,Pretty happy
1743,Male,White,76,High school,Retired,Refused,Very happy
1744,Male,White,65,Lt high school,Working fulltime,$25000 or more,Pretty happy
1745,Male,White,28,Bachelor,Working fulltime,$25000 or more,Very happy
1746,Female,White,82,High school,Retired,$25000 or more,Pretty happy
1747,Male,White,49,High school,Working fulltime,$25000 or more,Pretty happy
1748,Male,Black,33,Bachelor,Working fulltime,$25000 or more,Pretty happy
1749,Male,White,60,High school,"Unempl, laid off",$4000 to 4999,Not too happy
1750,Female,White,69,High school,Keeping house,$25000 or more,Very happy
1751,Female,Black,39,High school,Working fulltime,$25000 or more,Not too happy
1752,Female,Black,37,Graduate,Working fulltime,$25000 or more,Pretty happy
1753,Female,Black,44,High school,Keeping house,$25000 or more,Not too happy
1754,Female,White,36,Junior college,Working fulltime,$25000 or more,Pretty happy
1755,Male,Other,43,Junior college,Other,$7000 to 7999,Pretty happy
1756,Male,Black,44,High school,Working fulltime,$25000 or more,Very happy
1757,Female,Black,66,Graduate,Working fulltime,$25000 or more,Pretty happy
1758,Female,Black,75,Lt high school,Other,$10000 - 14999,Not too happy
1759,Female,White,73,High school,Retired,$25000 or more,Pretty happy
1760,Male,Black,61,Lt high school,School,$1000 to 2999,Not too happy
1761,Male,Black,58,Lt high school,Other,Don't know,Pretty happy
1762,Female,White,37,Junior college,Keeping house,Lt $1000,Pretty happy
1763,Male,Black,30,High school,Working fulltime,$20000 - 24999,Very happy
1764,Female,Black,44,High school,Keeping house,$3000 to 3999,Pretty happy
1765,Male,Black,48,High school,Working fulltime,$25000 or more,Pretty happy
1766,Female,White,57,High school,Other,$8000 to 9999,Not too happy
1767,Male,Black,47,High school,Working fulltime,$25000 or more,Not too happy
1768,Male,Black,67,High school,Retired,$25000 or more,Not too happy
1769,Female,Black,70,Lt high school,Retired,Don't know,Very happy
1770,Female,Black,69,Bachelor,Retired,$25000 or more,Pretty happy
1771,Female,Black,38,Junior college,Working fulltime,$20000 - 24999,Pretty happy
1772,Female,Black,25,Bachelor,Working fulltime,Refused,Pretty happy
1773,Female,White,39,Junior college,Working fulltime,$25000 or more,Pretty happy
1774,Female,White,55,High school,Working fulltime,$25000 or more,Very happy
1775,Male,Other,27,Junior college,Working fulltime,$20000 - 24999,Pretty happy
1776,Female,White,21,High school,Working fulltime,Don't know,Pretty happy
1777,Female,White,59,High school,Keeping house,$8000 to 9999,Pretty happy
1778,Female,Black,61,Bachelor,Working parttime,$25000 or more,Not too happy
1779,Female,Black,58,High school,Working parttime,$20000 - 24999,Not too happy
1780,Male,White,52,Bachelor,Working fulltime,$25000 or more,Pretty happy
1781,Female,White,61,Graduate,Working parttime,$25000 or more,Very happy
1782,Female,White,63,Graduate,Retired,$25000 or more,Very happy
1783,Male,White,86,Graduate,Retired,$25000 or more,Pretty happy
1784,Female,White,82,Junior college,Keeping house,$10000 - 14999,Pretty happy
1785,Male,Black,32,High school,Working fulltime,$25000 or more,Pretty happy
1786,Male,White,50,High school,Working fulltime,$25000 or more,Pretty happy
1787,Female,Other,55,High school,Keeping house,$8000 to 9999,Pretty happy
1788,Male,White,38,High school,Keeping house,$20000 - 24999,Pretty happy
1789,Female,Black,39,High school,Keeping house,$25000 or more,Pretty happy
1790,Male,Black,19,High school,School,$25000 or more,Very happy
1791,Female,Black,45,High school,Working fulltime,$25000 or more,Pretty happy
1792,Male,Black,23,High school,"Unempl, laid off",$20000 - 24999,Pretty happy
1793,Female,White,73,Graduate,Retired,$25000 or more,Pretty happy
1794,Female,White,50,High school,Keeping house,$15000 - 19999,Not too happy
1795,Female,Black,67,Bachelor,Retired,$25000 or more,Very happy
1796,Female,Black,37,High school,Temp not working,$25000 or more,Not too happy
1797,Female,Black,40,High school,Working fulltime,$25000 or more,Very happy
1798,Male,White,41,Bachelor,Working fulltime,$25000 or more,Pretty happy
1799,Male,Black,65,Bachelor,Retired,$25000 or more,Very happy
1800,Male,White,57,High school,Working fulltime,$25000 or more,Very happy
1801,Male,White,37,Bachelor,Working fulltime,Refused,Very happy
1802,Male,White,86,Bachelor,Retired,$25000 or more,Very happy
1803,Female,White,67,High school,Working parttime,Refused,Pretty happy
1804,Male,White,80,High school,Retired,$25000 or more,Very happy
1805,Female,White,49,High school,Retired,Refused,Pretty happy
1806,Male,White,32,Bachelor,Working fulltime,$25000 or more,Pretty happy
1807,Female,White,33,Graduate,Working fulltime,$25000 or more,Very happy
1808,Female,White,56,High school,"Unempl, laid off",Lt $1000,Not too happy
1809,Female,White,61,Bachelor,Working fulltime,$25000 or more,Very happy
1810,Male,White,80,Bachelor,Retired,$10000 - 14999,Very happy
1811,Male,Black,48,Junior college,Working fulltime,$25000 or more,Not too happy
1812,Male,White,65,High school,Working parttime,$25000 or more,Pretty happy
